0,1,2,3,4,5,6,7,8
"TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2012","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2012","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2012","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2012","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2012","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2012","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2012","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2012","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area — United States, 2012"
Area,Measles,Measles,Measles,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease
Area,Total,Indigenous,Imported,All serogroups,"Serogroup A, C, Y, and W-135",Serogroup B,Serogroup other,Serogroup unknown
United States,55,34,21,551,161,110,20,260
New England,1,—,1,15,6,4,2,3
Connecticut,1,—,1,4,2,2,—,—
Maine,—,—,—,3,2,—,1,—
Massachusetts,—,—,—,6,2,1,1,2
New Hampshire,—,—,—,—,—,—,—,—
Rhode Island,—,—,—,—,—,—,—,—
Vermont,—,—,—,2,—,1,—,1
Mid. Atlantic,9,1,8,85,17,21,2,45
New Jersey,2,1,1,14,—,—,—,14
New York (Upstate),1,—,1,21,8,10,—,3
New York City,4,—,4,25,—,—,—,25
Pennsylvania,2,—,2,25,9,11,2,3
E.N. Central,17,13,4,72,34,24,6,8
Illinois,—,—,—,17,8,5,4,—
Indiana,15,13,2,8,2,5,—,1
Michigan,1,—,1,13,7,6,—,—
Ohio,1,—,1,25,14,4,1,6
Wisconsin,—,—,—,9,3,4,1,1
W.N. Central,6,4,2,40,5,4,—,31
Iowa,—,—,—,2,—,1,—,1
Kansas,6,4,2,6,4,1,—,1
Minnesota,—,—,—,12,1,1,—,10
Missouri,—,—,—,16,—,—,—,16
Nebraska,—,—,—,3,—,—,—,3
North Dakota,—,—,—,1,—,1,—,—
South Dakota,—,—,—,—,—,—,—,—
S. Atlantic,4,4,—,83,16,8,2,57
Delaware,1,1,—,1,1,—,—,—
District of Columbia,1,1,—,2,—,—,—,2
Florida,—,—,—,45,—,—,—,45
